dataset,method,contract,category,bugs,found,reward,bc_cov,first_bug,tokens
defihacklabs,rlfuzz,2022-10_Uerii,arbitrary_mint,27,1,33.0,0.7,6.0,0
defihacklabs,rlfuzz,2023-04_Swapos,business_logic,0,0,22.73,0.5683,,0
defihacklabs,rlfuzz,2023-05_FAPEN,business_logic,14,1,77.35,0.6838,12.0,0
defihacklabs,rlfuzz,2023-05_Melo,arbitrary_mint,9,1,33.51,0.7128,7.0,0
defihacklabs,rlfuzz,2024-02_PANDORA,business_logic,0,0,21.74,0.5436,,0
defihacklabs,rlfuzz,2024-02_SwarmMarkets,arbitrary_mint,3,1,28.49,0.5872,11.0,0
defihacklabs,rlfuzz,2024-04_NGFS,access_control,0,0,18.86,0.4715,,0
defihacklabs,rlfuzz,2024-05_MetaDragon,arbitrary_mint,1,1,71.76,0.5441,54.0,0
defihacklabs,rlfuzz,2024-08_YodlRouter,access_control,0,0,9.66,0.2415,,0
defihacklabs,rlfuzz,2024-09_PLN,price_oracle_manipulation,0,0,23.02,0.5756,,0
defihacklabs,rlfuzz,2024-09_WXETA,arbitrary_mint,0,0,25.86,0.6466,,0
defihacklabs,rlfuzz,2024-11_Ak1111,arbitrary_mint,0,0,19.21,0.4802,,0
defihacklabs,rlfuzz,2024-12_Pledge,access_control,1,1,74.13,0.6032,15.0,0
defihacklabs,rlfuzz,2025-01_98Token,access_control,0,0,19.57,0.4894,,0
defihacklabs,madfuzz,2018-04_BEC,business_logic,0,0,21.58,0.5395,,4785
defihacklabs,madfuzz,2020-06_Bancor,access_control,0,0,9.92,0.248,,9644
defihacklabs,madfuzz,2022-02_TecraSpace,price_oracle_manipulation,0,0,22.04,0.5509,,4742
defihacklabs,madfuzz,2022-03_CompoundTusd,business_logic,1,1,65.3,0.3825,91.0,2377
defihacklabs,madfuzz,2022-03_Umbrella,business_logic,5,1,26.95,0.5487,12.0,5213
defihacklabs,madfuzz,2022-04_cftoken,access_control,0,0,26.88,0.6721,,7326
defihacklabs,madfuzz,2022-06_Snood,access_control,0,0,19.87,0.4967,,4422
defihacklabs,madfuzz,2022-07_FlippazOne,access_control,41,1,71.1,0.5276,6.0,7489
defihacklabs,madfuzz,2022-10_BEGO,arbitrary_mint,0,0,23.64,0.5909,,6951
defihacklabs,madfuzz,2022-10_EFLeverVault,price_oracle_manipulation,0,0,6.47,0.1617,,7930
defihacklabs,madfuzz,2022-10_Templedao,access_control,7,1,31.86,0.6716,2.0,4574
defihacklabs,madfuzz,2022-10_Uerii,arbitrary_mint,36,1,32.0,0.675,6.0,3802
defihacklabs,madfuzz,2023-04_Swapos,business_logic,0,0,19.75,0.4938,,4441
defihacklabs,madfuzz,2023-05_FAPEN,business_logic,9,1,75.59,0.6397,53.0,4893
defihacklabs,madfuzz,2023-05_Melo,arbitrary_mint,11,1,78.09,0.7021,10.0,4619
defihacklabs,madfuzz,2024-02_PANDORA,business_logic,0,0,20.93,0.5233,,6194
defihacklabs,madfuzz,2024-02_SwarmMarkets,arbitrary_mint,9,1,28.85,0.5963,20.0,6439
defihacklabs,madfuzz,2024-04_NGFS,access_control,0,0,18.4,0.4601,,8391
defihacklabs,madfuzz,2024-05_MetaDragon,arbitrary_mint,0,0,18.33,0.4583,,4615
defihacklabs,madfuzz,2024-08_YodlRouter,access_control,0,0,9.76,0.244,,3328
defihacklabs,madfuzz,2024-09_PLN,price_oracle_manipulation,0,0,21.87,0.5467,,7952
defihacklabs,madfuzz,2024-09_WXETA,arbitrary_mint,1,1,29.48,0.6121,79.0,4126
defihacklabs,madfuzz,2024-11_Ak1111,arbitrary_mint,7,1,69.29,0.4822,13.0,2731
defihacklabs,madfuzz,2024-12_Pledge,access_control,0,0,23.49,0.5872,,6203
defihacklabs,madfuzz,2025-01_98Token,access_control,0,0,19.04,0.4761,,5941
defihacklabs,llmfuzz,2018-04_BEC,business_logic,0,0,21.38,0.3487,,428416
defihacklabs,llmfuzz,2020-06_Bancor,access_control,0,0,5.35,0.1191,,1306411
defihacklabs,llmfuzz,2022-02_TecraSpace,price_oracle_manipulation,0,0,25.09,0.4162,,542006
defihacklabs,llmfuzz,2022-03_CompoundTusd,business_logic,0,0,15.22,0.2682,,333200
defihacklabs,llmfuzz,2022-03_Umbrella,business_logic,14,1,27.3,0.3628,36.0,436390
defihacklabs,llmfuzz,2022-04_cftoken,access_control,0,0,21.23,0.3442,,751831
defihacklabs,llmfuzz,2022-06_Snood,access_control,0,0,16.88,0.3257,,491188
defihacklabs,llmfuzz,2022-07_FlippazOne,access_control,0,0,11.59,0.1732,,824873
defihacklabs,llmfuzz,2022-10_BEGO,arbitrary_mint,0,0,25.18,0.4409,,865210
defihacklabs,llmfuzz,2022-10_EFLeverVault,price_oracle_manipulation,1,1,13.13,0.1548,44.0,580616
defihacklabs,llmfuzz,2022-10_Templedao,access_control,12,1,32.65,0.5245,25.0,454628
defihacklabs,llmfuzz,2022-10_Uerii,arbitrary_mint,31,1,50.25,0.6375,4.0,402689
defihacklabs,llmfuzz,2023-04_Swapos,business_logic,0,0,28.11,0.3882,,517321
defihacklabs,llmfuzz,2023-05_FAPEN,business_logic,0,0,24.78,0.3456,,388071
defihacklabs,llmfuzz,2023-05_Melo,arbitrary_mint,21,1,92.66,0.6064,0.0,404211
defihacklabs,llmfuzz,2024-02_PANDORA,business_logic,0,0,23.34,0.3808,,537235
defihacklabs,llmfuzz,2024-02_SwarmMarkets,arbitrary_mint,15,1,25.69,0.3486,1.0,716997
defihacklabs,llmfuzz,2024-04_NGFS,access_control,0,0,9.33,0.1692,,663490
defihacklabs,llmfuzz,2024-05_MetaDragon,arbitrary_mint,0,0,17.13,0.2941,,544502
defihacklabs,llmfuzz,2024-08_YodlRouter,access_control,0,0,8.99,0.1473,,409590
defihacklabs,llmfuzz,2024-09_PLN,price_oracle_manipulation,0,0,15.22,0.2911,,871763
defihacklabs,llmfuzz,2024-09_WXETA,arbitrary_mint,0,0,34.57,0.5172,,400696
defihacklabs,llmfuzz,2024-11_Ak1111,arbitrary_mint,0,0,15.22,0.251,,443311
defihacklabs,llmfuzz,2024-12_Pledge,access_control,0,0,23.23,0.4037,,719936
defihacklabs,llmfuzz,2025-01_98Token,access_control,0,0,15.66,0.3165,,720643
defihacklabs,sscfuzz,2018-04_BEC,business_logic,0,0,38.53,0.5789,,355602
defihacklabs,sscfuzz,2020-06_Bancor,access_control,0,0,13.51,0.2344,,1164541
defihacklabs,sscfuzz,2022-02_TecraSpace,price_oracle_manipulation,0,0,26.23,0.5419,,518088
defihacklabs,sscfuzz,2022-03_CompoundTusd,business_logic,11,1,66.64,0.3233,13.0,309896
defihacklabs,sscfuzz,2022-03_Umbrella,business_logic,18,1,37.18,0.5531,30.0,368253
defihacklabs,sscfuzz,2022-04_cftoken,access_control,0,0,24.74,0.5422,,652011
defihacklabs,sscfuzz,2022-06_Snood,access_control,0,0,21.75,0.3997,,457678
defihacklabs,sscfuzz,2022-07_FlippazOne,access_control,6,1,75.27,0.4685,5.0,882922
defihacklabs,sscfuzz,2022-10_BEGO,arbitrary_mint,1,1,85.85,0.5864,6.0,664383
defihacklabs,sscfuzz,2022-10_EFLeverVault,price_oracle_manipulation,0,0,7.97,0.144,,735073
defihacklabs,sscfuzz,2022-10_Templedao,access_control,24,1,43.9,0.6618,26.0,433798
defihacklabs,sscfuzz,2022-10_Uerii,arbitrary_mint,29,1,52.55,0.675,2.0,362260
defihacklabs,sscfuzz,2023-04_Swapos,business_logic,0,0,27.29,0.5093,,452706
defihacklabs,sscfuzz,2023-05_FAPEN,business_logic,7,1,84.21,0.6544,23.0,314575
defihacklabs,sscfuzz,2023-05_Melo,arbitrary_mint,10,1,97.06,0.6809,23.0,337309
defihacklabs,sscfuzz,2024-02_PANDORA,business_logic,0,0,24.67,0.5407,,489881
defihacklabs,sscfuzz,2024-02_SwarmMarkets,arbitrary_mint,14,1,36.06,0.5734,11.0,636901
defihacklabs,sscfuzz,2024-04_NGFS,access_control,0,0,14.81,0.3365,,659906
defihacklabs,sscfuzz,2024-05_MetaDragon,arbitrary_mint,0,0,26.13,0.4902,,479975
defihacklabs,sscfuzz,2024-08_YodlRouter,access_control,0,0,13.47,0.2343,,293687
defihacklabs,sscfuzz,2024-09_PLN,price_oracle_manipulation,0,0,22.22,0.4844,,780310
defihacklabs,sscfuzz,2024-09_WXETA,arbitrary_mint,0,0,35.72,0.6293,,329472
defihacklabs,sscfuzz,2024-11_Ak1111,arbitrary_mint,11,1,71.87,0.4447,10.0,317177
defihacklabs,sscfuzz,2024-12_Pledge,access_control,0,0,27.47,0.5161,,601194
defihacklabs,sscfuzz,2025-01_98Token,access_control,0,0,21.45,0.3644,,642105
